address,name,rate,votes,location
"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,3.0,62,Banashankari
"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Woodee Pizza,3.7,180,Banashankari
"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",Cafe Coffee Day,3.6,28,Banashankari
"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,3.6,62,Banashankari
"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",Hide Out Cafe,3.7,31,Banashankari
"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,3.2,11,Banashankari
"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Coffee Tindi,3.8,75,Banashankari
"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Sea Green Cafe,3.3,4,Banashankari
"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",Cuppa,3.3,23,Banashankari
"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,3.8,148,Basavanagudi
"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,4.0,219,Basavanagudi
"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,2.8,506,Banashankari
"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Sweet Truth,3.9,35,Banashankari
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,3.9,172,Banashankari
"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,4.2,415,Banashankari
"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",Fast And Fresh,2.8,91,Banashankari
"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,4.2,1647,Banashankari
"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,4.4,4884,Jayanagar
"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Maruthi Davangere Benne Dosa,4.0,17,Banashankari
"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,3.8,133,Basavanagudi
"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",Havyaka Mess,3.9,28,Banashankari
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",McDonald's,3.9,286,Banashankari
"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",Domino's Pizza,3.9,540,Banashankari
"2nd Stage, Banashankari, Bangalore",Hotboxit,3.8,36,Banashankari
"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,3.6,244,Kumaraswamy Layout
"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Recipe,4.0,804,Kumaraswamy Layout
"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",Beijing Bites,3.7,679,Rajarajeshwari Nagar
"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Tasty Bytes,3.1,245,Kumaraswamy Layout
"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",Petoo,3.7,21,Banashankari
"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",Shree Cool Point,4.1,28,Vijay Nagar
"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,4.3,345,Banashankari
"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,4.0,618,Jayanagar
"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,4.0,1047,Banashankari
"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,3.9,627,Banashankari
"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",Banashankari Donne Biriyani,3.8,104,Banashankari
"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",Five Star Chicken,3.6,55,Banashankari
"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",XO Belgian Waffle,3.7,17,Banashankari
"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Peppy Peppers,4.2,244,Banashankari
"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,3.6,163,Kumaraswamy Layout
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,3.8,58,Basavanagudi
"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",1947,4.0,808,Banashankari
"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",Cake of the Day,3.7,78,Banashankari
"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,4.1,1720,Basavanagudi
"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",Namma Brahmin's Idli,3.6,34,Jayanagar
"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,4.1,868,Banashankari
"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",Sugar Rush,3.8,39,Banashankari
"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Burger King,3.2,71,Basavanagudi
"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,4.1,520,Banashankari
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",Spicy Tandoor,0.0,0,Banashankari
"100 Feet Road, 3rd Stage, Banashankari, Bangalore",LSD Cafe,2.9,84,Banashankari
"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,3.6,299,Banashankari
"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",Om Sri Vinayaka Chats,0.0,0,Banashankari
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,4.1,558,Basavanagudi
"16th Main Road, Near PESIT College, Banashankari, Bangalore",Devanna Dum Biriyani Centre,3.6,28,Banashankari
"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",Kolbeh,3.7,22,Banashankari
"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,3.8,39,Banashankari
"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Kadalu Sea Food Restaurant,3.8,153,Vijay Nagar
"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Frozen Bottle,4.2,146,Banashankari
"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",Parimala Sweets,3.5,14,Banashankari
"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",Vaishali Deluxe,3.8,42,Banashankari
"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",The Big O Bakes,4.0,66,Banashankari
"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,4.4,4401,Jayanagar
"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Krishna Sagar,3.5,31,Banashankari
"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",Dessert Rose,3.5,7,Banashankari
"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",Chickpet Donne Biryani House,3.7,21,Banashankari
"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",Thanco's Natural Ice Creams,3.2,9,Banashankari
"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",Nandhini Deluxe,2.6,283,Banashankari
"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",Vi Ra's Bar and Restaurant,3.3,62,Banashankari
"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",Kaggis,3.8,64,Banashankari
"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Ayda Persian Kitchen,3.7,39,Banashankari
"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",Chatar Patar,3.7,65,Banashankari
"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,3.8,71,Basavanagudi
"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",Kidambi's Kitchen,3.5,52,Banashankari
"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",Mane Thindi,3.7,130,Banashankari
"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",Kotian Karavali Restaurant,3.5,10,Banashankari
"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",Floured-Baked With Love,3.8,45,Banashankari
"27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore",Cakes & Slices,3.5,13,Banashankari
"Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, Bangalore",Spice 9,3.4,8,Banashankari
"2, 3rd Cross, Near Pesit College, Banashankari, Bangalore",Naveen Kabab & Biriyani Mane,3.2,9,Banashankari
"8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, Bangalore",Katriguppe Donne Biryani,3.2,4,Banashankari
"594, 24 The Cross BSK, Opposte Oriental Bank, Banashankari, Bangalore",Hari Super Sandwich,0.0,0,Banashankari
"7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, Bangalore",Atithi Point Ande Ka Funda,3.1,29,Banashankari
"3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore",Just Bake,3.4,8,Banashankari
"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",K27 - The Pub,3.1,30,Banashankari
"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",Bengaluru Coffee House,4.1,201,Banashankari
"89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore",New Mangalore Lunch Home,3.3,7,Banashankari
"10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, Bangalore",Coffee Bytes,3.1,6,Banashankari
"68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Parjanya Chat Zone,3.3,17,Banashankari
"590, 24th Cross, 2nd Stage, Banashankari, Bangalore",Kwality Wall's Swirl's Happiness Station,2.9,25,Banashankari
"Padmanabhanagar, Banashankari, Bangalore",Ruchi Maayaka,3.3,8,Banashankari
"28, 4th Cross Road, Dwaraka Nagar, Banashankari, Bengaluru",Roll Magic Fast Food,0.0,0,Banashankari
"3/16, 22 Main Road, Magenta Block, PES College, Road Bank Colony, Banashankari, Bangalore",Foodlieious Multi Cuisine,0.0,0,Banashankari
"17/1, Ramaiah Garden, Kadirenahalli Circle, Dr Vishnuvardhan Main Road, 2nd Stage, Banashankari, Bangalore",Thanishka Nati And Karavali Style,0.0,0,Banashankari
"Bhuvaneshwari Nagar BSK 3RD Stage, Banashankari, Bangalore",Melting Melodies,0.0,0,Banashankari
"77, 50 Ft Road, Hanumathnagara, Banashankari, Bangalore",New Indraprasta,0.0,0,Banashankari
"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",Anna Kuteera,4.0,771,Banashankari
"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",Darbar,3.0,98,Banashankari
"No.37, Shree Complex, Next to Dominoes Pizza, Bull temple Road, Basavanagudi, Bangalore",Vijayalakshmi,3.9,47,Basavanagudi
"155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore",Sri Udupi Food Hub,4.1,175,Jayanagar
"No.1585, 22nd Main,Banashankari 1st Stage",Udupi Upahar,3.8,58,Banashankari
"39/1, R.V Road, Opposite Vijaya College, Basavanagudi, Bangalore",House Of Kebabs,3.8,540,Basavanagudi
"608, 21st Cross, Kumaraswamy Layout, Bangalore",Roll N Rock,3.8,124,Kumaraswamy Layout
"100 Feet Ring Road, 2nd Phase, Banashankari, Bangalore",BOX8- Desi Meals,4.1,340,Banashankari
"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",KFC,3.8,505,Banashankari
"12, Banashankari, Bangalore",Bitez,0.0,0,Banashankari
"1A/29 , Shop 2 , 27th Cross, Jayanagar, Bangalore",Roll Over,4.1,438,Jayanagar
"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",Imperial Restaurant,3.7,264,Mysore Road
"Dayanand Sagar College Road, Kumaraswamy Layout, Bangalore",Lassi Shop,3.9,169,Kumaraswamy Layout
"Basement, MR Complex, Near Police Station, 25th Cross, 14th Main, Kumaraswamy Layout, Bangalore",The Fortuna,3.0,67,Kumaraswamy Layout
"28/29, 9th Main Road, 3rd Block, Jayanagar, Bangalore",Wahab,3.7,97,Jayanagar
"11/2, Ground Floor, Khazi Street, Basavanagudi, Bangalore",Al Diwan Biryanis And More,3.3,12,Basavanagudi
"4th Cross Road, Byatarayanapura, Srinagar, Banashankari, Bangalore",New Gowda's Fried Chicken,3.3,12,Banashankari
"28-29, 3rd Block, 9th Main Road, Jayanagar, Bangalore",Canton,3.6,195,Jayanagar
"92/1, Gandhi Bazaar Main Road, Basavangudi. Next to Vodafone Showroom, Basavanagudi, Bangalore",Diabetics Dezire Sugarless Sweets and Bakes,3.3,13,Basavanagudi
"615/1, Ground Floor, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore",The Blue Wagon - Kitchen,4.6,228,Jayanagar
"79, Vanivilas Road, Next to KFC, Basavanagudi, Bangalore",HOT COFFEE,4.1,70,Basavanagudi
"805, Ground Floor, 35C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",Patio 805,4.1,364,Jayanagar
"1304, Kathriguppe Main Road, Ashok Nagar, NR Colony, Basavanagudi, Bangalore",Lassi Corner,3.7,107,Basavanagudi
"1761, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Sagar Deluxe,3.2,167,Kumaraswamy Layout
"374/B, 2nd Phase, BSK 3rd Stage, Srinivasa Nagar, Banashankari, Bangalore",Kanti Sweets,4.0,115,Banashankari
"582,2nd Main, 6th Block 2nd Phase Banshankari 3rd Stage Bangalore-560085",Vegetalia,3.7,27,Banashankari
"3-94/1, 80 Feet Road, Near New Big Bazaar, Kathriguppe, Banashankari, Bangalore",Aramane Donne Biryani,3.5,57,Banashankari
"9/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore",Ande Ka Funda,3.8,120,Banashankari
"24, Next to Roti Ghar, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Cake Ghar,3.8,15,Basavanagudi
"Rashtriya Vidyalaya Road, Basavanagudi, Bangalore",Energy Addaa,4.2,64,Basavanagudi
"855/A, 5th A Cross,10th Main Road, Srinivasanagar, Towords Maruthi Circle, Banashankari, Bangalore",Bhattara Bhojana,3.6,66,Banashankari
"11/2, Old Market, V V Puram, Basavanagudi, Bangalore",Dev Sagar - Food Street,4.1,233,Basavanagudi
"1779, 14th Main, Kumaraswamy Layout, Bangalore",Mitraa Da Pizza,3.8,115,Kumaraswamy Layout
"224/Y, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",Paradise Premium,3.1,119,Banashankari
"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore",Grazers,3.9,291,Jayanagar
"766/25-01, 47th A Cross, Near Sangam Circle, Adarsh Gardens Apartments Road, 8th Block, Jayanagar, Bangalore",Shakes Theory,4.5,155,Jayanagar
"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",@Italy,4.1,305,Kumaraswamy Layout
"Opposite BNM School, Near BDA complex, Banashankari, Bangalore",Chilli Flakes,3.6,46,Banashankari
"728/1, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Calcutta Cafe,3.5,45,Kumaraswamy Layout
"416, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Old Mumbai Ice Cream,3.9,38,Banashankari
"4009, 80 Feet Road, 4th Phase, Banashankari, Bangalore",Donne Biriyani House,3.9,441,Banashankari
"12, Old 387, Market Road, V.V.Puram, Basavanagudi, Bangalore",By 2 Coffee,3.9,25,Basavanagudi
"6th C Main, 4th Block, Jayanagar, Bangalore",Kedia's Fun Food,4.3,630,Jayanagar
"1771, 14th Main Road, 1stage, Kumaraswamy Layout, Bangalore",Davangere Butter Dosa Hotel,3.8,25,Kumaraswamy Layout
"1424, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Just Shawarma,3.9,160,Kumaraswamy Layout
"7/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore",Mini Punjabi Dhaba,4.2,287,Banashankari
"19, V.V.puram National School Road, Basavanagudi, Bangalore",Mulabagilu Dosa,3.6,11,Basavanagudi
"1st Floor, GR Plaza, DVG Road, Near Gandhi Bazaar circle, Basavanagudi, Bangalore",Gokul Veg,3.8,469,Basavanagudi
"1763, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Olive - Era,3.3,511,Kumaraswamy Layout
"31/1, Puttalingaiah Road, Second Stage, Bangalore, Banashankari, Bangalore",Udupi Ruchi,3.9,57,Banashankari
"80 Feet Road, Hosakerehalli Cross, B S K 3rd Stage, Banashankari, Bangalore",Madhappa Hindu Military Hotel,3.4,14,Banashankari
"17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore",Gama Gama,3.9,264,Banashankari
"2469, 21st Cross, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Pizza Hut,3.8,693,Banashankari
"197/F, 8th B Main, 27th Cross, 3rd Block, Jayanagar, Bangalore",Mangalore Pearl,3.8,242,Jayanagar
"26/3, Bugle Rock Road, Gandhi Bazaar, Basavanagudi, Bangalore",Asha Sweets Centre,3.6,27,Basavanagudi
"97, Opposite Jain College, Kavi Lakshmisha Road, VV Puram, Basavanagudi, Bangalore",Twiststick House,4.1,163,Basavanagudi
"1/4, Nisha Complex, KR Road, Near National College, Basavanagudi, Bangalore",Cool Corner,4.2,191,Basavanagudi
"9/63, 1st C Main Road, Kathreguppe, Vivekananda Nagar, Banashankri, Bangalore",Pizza Mane,3.5,32,Banashankari
"1, Kathriguppe Main Road, 3rd Stage, Banashankari, Bangalore",Dal Tadkaa,2.5,247,Banashankari
"Cosmopolitan Club, 22nd Cross, 3rd Block, Jayanagar, Bangalore",Chutney Chang,4.1,2339,Jayanagar
"615/1, 10th C Main,32nd Cross Road ,Janardhan Mansion, 4th Block, Jayanagar, Bangalore",Mystique Palate,4.1,337,Jayanagar
"1112, Next KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",Thamboola,3.9,135,Banashankari
"1/2, Opposite Indian Oil Petrol Bunk, 1st Cross, Kaderanhalli Crossroad, Subramanyapura Main Road, Padmanabhanagar, Uttarahalli, Bangalore",Castle Rock,3.6,172,Uttarahalli
"Pavanashree Nilayam, 7 Block, Banagirinagara, Banashankari, Bangalore",Vietnamese Kitchen,3.6,105,Banashankari
"1328, 50 Feet Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",C Corner,3.2,36,Kumaraswamy Layout
"31, 2nd Cross, Teacher's Colony, JP Nagar Post, Dayanand College Road, Kumaraswamy Layout, Bangalore",Paratha Merchant,3.1,39,Kumaraswamy Layout
"52, Dayanand Sagar College Road, Teachers Colony, Near ICICI Bank ATM, Bangalore East, Bangalore Urban Karnataka, Kumaraswamy Layout, Bangalore.",North Rasoe,3.1,5,Kumaraswamy Layout
"359/38,Next to Fabindia, 7th Cross, 1st Block, Jayanagar, Bangalore",Toscano,4.3,1129,Jayanagar
"Shop 197, Ground Floor, Gokul Niwas, North Main Road, Rajyotsavanagar, 2nd Stage, Kumaraswamy Layout, Bangalore",Lord Of The Kitchen,3.9,56,Kumaraswamy Layout
"415, 9th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",Stoned Monkey,4.3,860,Banashankari
"433/30/1, 28th Cross, 10th Main, Opposite BDA Complex, 4th Block, Jayanagar, Bangalore",Central Jail Restaurant,3.8,412,Jayanagar
"382/71/4, 11th Main, 3rd Block, Jayanagar, Bangalore",Bella,3.9,142,Jayanagar
"54, Sri Durga Avenue, 3rd Floor, 33rd Cross Road, Opp. Navarathan, Jewe, Jayanagar, Bangalore",Vennela Andhra Meals,3.0,23,Jayanagar
"2nd Floor, Garla Garnet, 9th Main, 4th Block, Jayanagar, Bangalore",New Prashanth Hotel,3.6,143,Jayanagar
"126, Near Ganesha Temple, 7th Main, 4th Block, Jayanagar, Bangalore",The Grillo,2.8,80,Jayanagar
"6, Shakambari Nagar, 1st stage, JP Nagar, Bangalore",Re Malnad Nati Style Hotel,3.6,16,JP Nagar
"81, 36th Cross Road, 5th Block, Jayanagar, Bangalore",Karma Kaapi,4.4,181,Jayanagar
"616/2, 31st Cross, 10th A Main Road, 4th block, Jayanagar, Bangalore",Tiwari's,3.8,70,Jayanagar
"66/1, Kanakpura Road, Basavanagudi, Bangalore",Pizza Stop,3.8,164,Basavanagudi
"173, DSI college Road, Kumaraswamy Layout, Bangalore",Biggies Burger 'n' More,3.6,58,Kumaraswamy Layout
"1, Corporation Market, Gandhi Bazar, Basavanagudi, Bangalore",Kollapuri's,3.9,206,Basavanagudi
"Satellite Bus Stand, KSRTC, Mysore Road, Bangalore",Kadamba Classic,3.6,16,Mysore Road
"5, Mallariah Complex, Near Corporation Bank, Gandhi Nagar, Basavanagudi, Bangalore",RS Shiv Sagar,3.7,217,Basavanagudi
"144/1, 2nd Main Road, 2nd Block, Thyagaraja Nagar, Basavanagudi, Bangalore",Kholi Mane,3.6,46,Basavanagudi
"60/1, East Anjaneya Temple Road, Basavanagudi, Bangalore",Harshi Super Sandwich,3.8,148,Basavanagudi
"3/1 , Opposite Krishna Rao Park, Kanakapura Road, Basavanagudi, Bangalore",Cake Yard,3.4,30,Basavanagudi
"335, KR Road, Shastri Nagar, Yediyur, Jayanagar, Bangalore",Sri Udupi Veg,3.3,4,Jayanagar
"1/A, 3rd Main, 7th Cross, Kattebalag, Narasimharaja Colony, Basavanagudi, Bangalore",Cake Art,3.5,15,Basavanagudi
"9, Canara Bank Colony, Opposite Chikkalsandra Post Office, Main Road, Uttarahalli, Bangalore",Potato House,3.4,9,Uttarahalli
"Sri Balaji Complex, 339/3, Kuvempu Nagar, Next to Bus Stand, Mysore Road, Bangalore",Matru Sagar,3.7,31,Mysore Road
"609, 10th A Main Road, 4th Block, Jayanagar, Bangalore",Ugadi,2.9,177,Jayanagar
"121, DVG Road, R.M Complex, Basavanagudi, Bangalore",Sri Krishna Sweets,3.7,22,Basavanagudi
"119, 5th Cross, Teachers Colony, Kumaraswamy Layout, Bangalore",In Time Cane Juice,3.5,10,Kumaraswamy Layout
"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",Subway,3.7,136,Banashankari
"139, Behind Police Station, 72nd Cross, Kumaraswamy Layout, Bangalore",Daal Roti,2.9,35,Kumaraswamy Layout
"22nd Cross, New Diagonal Road, Opposite N MKRV Womens College, 3rd Block, Jayanagar, Bangalore",The Lassi Park,4.1,185,Jayanagar
"28th Main, 8th Block, Jayanagar, Bangalore",Cafe Coffee Day,3.2,17,Jayanagar
"Next To BMTC Bus Stand, Banashankari, Bangalore",Srikrishna Bhavan,3.8,42,Banashankari
"376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore",Green Gardenia,3.8,160,Banashankari
"632/A, 24th Cross, 2nd Stage, Banashankari, Bangalore",J Spice,3.8,59,Banashankari
"13, 27th B Cross, 10th Main, Opposite BWSSB Water Tank, Geetha Colony, 4th Block, Jayanagar, Bangalore",Karavali Family Restaurant,3.5,90,Jayanagar
"126, Opposite Police Station, 7th Main, 4th Block, Jayanagar, Bangalore",Hatti Kaapi,4.0,89,Jayanagar
