index,name,online_order,book_table,rate,votes,location,rest_type,cuisines,listed_in(type),listed_in(city),approx_cost
54,Roving Feast,0,0,4.0,1047,1,73,1336,2,1,225.0
55,FreshMenu,1,0,3.9,627,1,36,1256,2,1,225.0
56,Banashankari Donne Biriyani,1,0,3.8,104,1,73,366,2,1,150.0
57,Wamama,1,1,4.2,354,1,24,190,2,1,400.0
58,Five Star Chicken,0,0,3.6,55,1,73,1114,2,1,100.0
59,XO Belgian Waffle,1,0,3.7,17,1,37,1041,2,1,200.0
60,Peppy Peppers,0,0,4.2,244,1,24,1356,2,1,400.0
61,Goa 0 Km,1,1,3.6,163,48,24,1246,2,1,400.0
62,Chinese Kitchen,1,0,3.8,58,4,73,700,2,1,75.0
63,1947,0,1,4.0,808,1,24,1649,2,1,425.0
64,Cake of the Day,0,0,3.7,78,1,3,222,2,1,75.0
65,Kabab Magic,1,0,4.1,1720,4,73,1860,2,1,200.0
66,Namma Brahmin's Idli,1,0,3.6,34,31,73,2149,2,1,50.0
67,Gustoes Beer House,0,0,4.1,868,1,68,958,2,1,600.0
68,Sugar Rush,0,0,3.8,39,1,0,230,2,1,150.0
69,Burger King,1,0,3.2,71,4,73,458,2,1,300.0
70,The Good Bowl,1,0,3.6,6,1,86,1351,2,1,250.0
71,The Biryani Cafe,0,0,4.1,520,1,73,355,2,1,150.0
73,LSD Cafe,0,0,2.9,84,1,36,727,2,1,75.0
74,Rolls On Wheels,0,0,3.6,299,1,73,1185,2,1,350.0
76,Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,4,73,2149,2,1,150.0
77,Devanna Dum Biriyani Centre,1,0,3.6,28,1,73,429,2,1,250.0
78,Kolbeh,0,0,3.7,22,1,73,1092,2,1,75.0
79,Upahar Sagar,0,0,3.8,39,1,73,2184,2,1,150.0
80,Kadalu Sea Food Restaurant,1,0,3.8,153,86,46,2136,2,1,250.0
81,Frozen Bottle,1,0,4.2,146,1,11,291,2,1,175.0
82,Parimala Sweets,0,0,3.5,14,1,83,1531,2,1,250.0
83,Vaishali Deluxe,0,0,3.8,42,1,24,1649,2,1,200.0
85,The Big O Bakes,0,0,4.0,66,1,0,230,2,1,100.0
86,Meghana Foods,1,0,4.4,4401,31,24,402,2,1,350.0
87,Krishna Sagar,0,0,3.5,31,1,73,1585,2,1,50.0
88,Dessert Rose,0,0,3.5,7,1,37,1035,2,1,150.0
89,Chickpet Donne Biryani House,0,0,3.7,21,1,73,333,2,1,300.0
93,Thanco's Natural Ice Creams,0,0,3.2,9,1,37,1295,2,1,100.0
94,Nandhini Deluxe,0,0,2.6,283,1,24,1585,2,1,250.0
95,Vi Ra's Bar and Restaurant,0,0,3.3,62,1,6,2224,2,1,125.0
96,Kaggis,0,0,3.8,64,1,73,1099,2,1,250.0
97,Ayda Persian Kitchen,0,0,3.7,39,1,24,1844,2,1,200.0
98,Chatar Patar,0,0,3.7,65,1,73,1199,2,1,100.0
99,Polar Bear,1,0,3.8,71,4,37,1305,2,1,150.0
100,Kidambi's Kitchen,0,0,3.5,52,1,73,2149,2,1,300.0
101,Mane Thindi,0,0,3.7,130,1,73,2149,2,1,400.0
102,Kotian Karavali Restaurant,0,0,3.5,10,1,73,2160,2,1,125.0
103,Floured-Baked With Love,0,0,3.8 ,45,1,86,222,2,1,475.0
104,CAFE NOVA,0,0,3.2,11,1,16,496,2,1,150.0
105,Cakes & Slices,0,0,3.5,13,1,0,230,2,1,200.0
106,Spice 9,0,0,3.4,8,1,73,405,2,1,150.0
108,Naveen Kabab & Biriyani Mane,0,0,3.2,9,1,73,333,2,1,100.0
109,Katriguppe Donne Biryani,0,0,3.2,4,1,73,1585,2,1,150.0
111,Atithi Point Ande Ka Funda,0,0,3.1,29,1,73,1585,2,1,200.0
112,Just Bake,0,0,3.4,8,1,0,230,2,1,300.0
119,K27 - The Pub,0,0,3.1,30,1,6,778,2,1,150.0
120,Bengaluru Coffee House,1,0,4.1,201,1,73,2238,2,1,150.0
121,New Mangalore Lunch Home,0,0,3.3,7,1,73,1496,2,1,125.0
122,Coffee Bytes,0,0,3.1,6,1,73,1195,2,1,150.0
123,Parjanya Chat Zone,0,0,3.3,17,1,73,2295,2,1,150.0
124,Kwality Wall's Swirl's Happiness Station,0,0,2.9,25,1,37,1302,2,1,100.0
127,Ruchi Maayaka,0,0,3.3,8,1,36,2149,2,1,75.0
145,Anna Kuteera,1,0,4.0,771,1,24,2224,2,1,200.0
146,Darbar,0,0,3.0,98,1,6,1649,2,1,75.0
147,Vijayalakshmi,1,0,3.9,47,4,73,2149,2,1,150.0
148,Sri Udupi Food Hub,1,1,4.1,175,31,24,2226,2,1,100.0
149,Udupi Upahar,1,0,3.8,58,1,73,2188,2,1,75.0
150,House Of Kebabs,1,0,3.8,540,4,24,1858,2,1,75.0
151,Roll N Rock,1,0,3.8,124,48,73,803,2,1,125.0
152,BOX8- Desi Meals,1,0,4.1,340,1,86,1904,2,1,500.0
153,KFC,1,0,3.8,505,1,73,457,2,1,150.0
155,Roll Over,1,0,4.1,438,31,37,1060,2,1,100.0
156,Imperial Restaurant,1,0,3.7,264,56,24,1673,2,1,50.0
157,Lassi Shop,1,0,3.9,169,48,11,312,2,1,100.0
158,The Fortuna,1,0,3.0,67,48,73,1649,2,1,100.0
159,Wahab,1,0,3.7,97,31,73,1894,2,1,200.0
160,Al Diwan Biryanis And More,1,0,3.3,12,4,86,333,2,1,175.0
161,New Gowda's Fried Chicken,1,0,3.3,12,1,73,333,2,1,50.0
162,Canton,1,0,3.6,195,31,24,825,2,1,75.0
163,Diabetics Dezire Sugarless Sweets and Bakes,1,0,3.3,13,4,44,1065,2,1,75.0
164,The Blue Wagon - Kitchen,1,0,4.6,228,31,16,506,2,1,100.0
165,HOT COFFEE,1,0,4.1,70,4,73,2176,2,1,50.0
166,Patio 805,1,1,4.1,364,31,24,2347,2,1,200.0
167,Lassi Corner,1,0,3.7,107,4,11,303,2,1,100.0
168,Sagar Deluxe,1,0,3.2,167,48,73,2232,2,1,75.0
169,Kanti Sweets,1,0,4.0,115,1,83,1531,2,1,200.0
170,Vegetalia,1,0,3.7,27,1,86,1359,2,1,75.0
171,Aramane Donne Biryani,1,0,3.5,57,1,73,333,2,1,125.0
172,Ande Ka Funda,1,0,3.8,120,1,73,1830,2,1,125.0
173,Cake Ghar,1,0,3.8,15,4,0,222,2,1,75.0
174,Energy Addaa,1,0,4.2,64,4,73,2091,2,1,100.0
175,Bhattara Bhojana,1,0,3.6,66,1,73,2149,2,1,175.0
176,Tandoori Knight,1,0,3.0,290,1,73,1676,2,1,150.0
177,Dev Sagar - Food Street,1,0,4.1,233,4,73,2278,2,1,50.0
178,Mitraa Da Pizza,1,0,3.8,115,48,73,1178,2,1,75.0
179,Paradise Premium,1,0,3.1,119,1,24,336,2,1,225.0
180,Grazers,1,1,3.9,291,31,16,517,2,1,400.0
181,Shakes Theory,1,0,4.5,155,31,11,322,2,1,100.0
182,@Italy,1,0,4.1,305,48,24,1318,2,1,250.0
183,Chilli Flakes,1,0,3.6,46,1,73,1154,2,1,150.0
184,Calcutta Cafe,1,0,3.5,45,48,73,267,2,1,325.0
185,Old Mumbai Ice Cream,1,0,3.9,38,1,37,1295,2,1,200.0
186,Donne Biriyani House,1,0,3.9,441,1,73,2227,2,1,250.0
187,By 2 Coffee,1,0,3.9,25,4,73,2149,2,1,225.0
188,Kedia's Fun Food,1,0,4.3,630,31,73,2001,2,1,50.0
189,Davangere Butter Dosa Hotel,1,0,3.8,25,48,73,2149,2,1,250.0
190,Just Shawarma,1,0,3.9,160,48,73,107,2,1,375.0
191,Mini Punjabi Dhaba,1,0,4.2,287,1,73,1585,2,1,75.0
192,Mulabagilu Dosa,1,0,3.6,11,4,73,2149,2,1,125.0
193,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,402,1,16,475,2,1,175.0
194,Gokul Veg,1,0,3.8,469,4,24,1669,2,1,150.0
195,Olive - Era,1,0,3.3,511,48,24,209,2,1,150.0
196,Udupi Ruchi,1,0,3.9,57,1,73,2238,2,1,400.0
197,Madhappa Hindu Military Hotel,1,0,3.4,14,1,73,2149,2,1,150.0
198,Gama Gama,1,0,3.9,264,1,73,2149,2,1,200.0
199,The Vintage Cafe,1,0,3.0,62,1,16,611,2,1,75.0
200,Pizza Hut,1,0,3.8,693,1,24,2034,2,1,600.0
201,Mangalore Pearl,1,0,3.8,242,31,24,1489,2,1,75.0
202,Asha Sweets Centre,1,0,3.6,27,4,37,1092,2,1,150.0
203,Twiststick House,1,0,4.1,163,4,73,934,2,1,200.0
204,Cool Corner,1,0,4.2,191,4,73,2295,2,1,200.0
205,Pizza Mane,1,0,3.5,32,1,73,2050,2,1,100.0
206,Dal Tadkaa,1,0,2.5,247,1,24,1585,2,1,125.0
207,Chutney Chang,1,1,4.1,2339,31,24,1665,2,1,200.0
208,Mystique Palate,1,0,4.1,337,31,73,741,2,1,250.0
209,Thamboola,1,0,3.9,135,1,24,1684,2,1,75.0
210,Castle Rock,1,0,3.6,172,83,24,1649,2,1,225.0
211,Vietnamese Kitchen,1,0,3.6,105,1,24,2364,2,1,100.0
212,Smacznego,1,0,4.2,504,1,16,654,2,1,125.0
213,C Corner,1,0,3.2,36,48,73,1199,2,1,350.0
214,Paratha Merchant,1,0,3.1,39,48,73,1585,2,1,325.0
215,North Rasoe,1,0,3.1,5,48,24,1676,2,1,150.0
217,Toscano,1,1,4.3,1129,31,24,1366,2,1,350.0
218,Lord Of The Kitchen,1,0,3.9,56,48,73,1649,2,1,250.0
219,Stoned Monkey,1,0,4.3,860,1,37,1058,2,1,175.0
220,Central Jail Restaurant,1,0,3.8,412,31,24,95,2,1,75.0
221,Bella,1,1,3.9,142,31,24,1493,2,1,200.0
222,Vennela Andhra Meals,1,0,3.0,23,31,73,49,2,1,50.0
223,New Prashanth Hotel,1,0,3.6,143,31,24,2163,2,1,100.0
224,The Grillo,1,1,2.8,80,31,24,2154,2,1,75.0
225,Re Malnad Nati Style Hotel,1,0,3.6,16,29,24,2149,2,1,150.0
226,Karma Kaapi,1,0,4.4,181,31,11,328,2,1,175.0
227,Tiwari's,1,0,3.8,70,31,73,1995,2,1,50.0
228,Pizza Stop,1,0,3.8,164,4,73,2037,2,1,250.0
229,Biggies Burger 'n' More,1,0,3.6,58,48,73,514,2,1,375.0
230,Srinathji's Cafe,0,0,3.8,148,4,26,1646,2,1,275.0
231,Kollapuri's,0,0,3.9,206,4,73,2216,2,1,100.0
234,Kadamba Classic,0,0,3.6,16,56,73,2149,2,1,150.0
235,RS Shiv Sagar,0,0,3.7,217,4,24,1765,2,1,100.0
236,Kholi Mane,0,0,3.6,46,4,73,98,2,1,200.0
237,Harshi Super Sandwich,0,0,3.8,148,4,73,1199,2,1,375.0
238,Cake Yard,0,0,3.4,30,4,37,1035,2,1,325.0
239,Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,56,24,1938,2,1,125.0
240,Sri Udupi Veg,0,0,3.3,4,31,73,2149,2,1,250.0
241,Cake Art,0,0,3.5,15,4,5,222,2,1,125.0
245,Potato House,1,0,3.4,9,83,73,2278,2,1,75.0
247,Matru Sagar,1,0,3.7,31,56,73,2221,2,1,250.0
248,Ugadi,1,0,2.9,177,31,24,1672,2,1,750.0
249,Sri Krishna Sweets,1,0,3.7,22,4,83,1522,2,1,150.0
250,In Time Cane Juice,1,0,3.5,10,48,11,1379,2,1,400.0
251,Subway,1,0,3.7,136,1,73,2085,2,1,350.0
252,Daal Roti,1,0,2.9,35,48,73,1649,2,1,350.0
253,The Lassi Park,1,0,4.1,185,31,73,1383,2,1,275.0
254,Cafe Coffee Day,1,0,3.2,17,31,16,597,2,1,100.0
255,A2B - Adyar Ananda Bhavan,1,0,3.8,155,56,24,2238,2,1,150.0
256,Srikrishna Bhavan,1,0,3.8,42,1,73,2224,2,1,250.0
257,Timepass Dinner,1,0,3.8,286,4,24,1585,2,1,150.0
258,Green Gardenia,1,0,3.8,160,1,24,1649,2,1,650.0
259,J Spice,1,0,3.8,59,1,24,1649,2,1,175.0
260,Karavali Family Restaurant,1,0,3.5,90,31,24,2114,2,1,250.0
261,Karavali Lunch Home,1,0,3.7,51,48,73,2216,2,1,350.0
262,Hatti Kaapi,1,0,4.0,89,31,73,2159,2,1,500.0
263,Kolkata Kathi Roll's,1,0,3.6,18,1,73,1182,2,1,200.0
264,Upahara Darshini,1,0,3.9,40,4,24,1764,2,1,375.0
265,The Chaat Shop,1,0,2.5,35,4,73,1092,2,1,250.0
266,Anda Ka Funda,1,0,3.4,89,31,73,1748,2,1,200.0
267,Shri Vinayaka Ice N Juice,1,0,3.2,11,4,73,293,2,1,125.0
268,My Tea House,1,0,3.6,62,1,76,1341,2,1,100.0
269,Ibaco,1,0,3.9,33,31,37,1035,2,1,300.0
270,Jalaram Sweets,1,0,3.8,32,31,83,1065,2,1,325.0
271,Samskruti - Sanman Gardenia,1,0,4.1,139,31,24,1760,2,1,275.0
272,Bendakaluru Bytes,1,0,3.2,154,86,73,1092,2,1,225.0
273,Cocoa Bakes,1,0,3.6,14,1,0,230,2,1,150.0
274,Chumma Delicious,1,0,3.7,237,1,73,2198,2,1,100.0
275,New Prashanth Hotel,1,0,3.9,388,1,24,420,2,1,150.0
277,Dwaraka Grand,1,0,3.9,128,48,24,2195,2,1,225.0
278,Gufha - The President Hotel,1,1,4.1,1875,31,24,1588,2,1,225.0
279,Cafe Vivacity,1,0,3.8,90,1,16,475,2,1,75.0
280,Tanna's Kitchen,1,0,3.1,7,48,73,1333,2,1,125.0
281,Shree Mandarathi Grand,1,0,3.7,38,83,24,2221,2,1,400.0
282,Mojo Pizza - 2X Toppings,1,0,4.2,179,1,36,2018,2,1,125.0
283,Iceberg Icecreams,1,0,4.0,43,4,37,1058,2,1,200.0
284,South Kitchen,1,0,4.3,275,4,73,2149,2,1,50.0
285,Chung Wah,1,0,3.7,323,31,24,845,2,1,150.0
286,Shanthi Sagar,1,0,3.1,28,83,24,2224,2,1,100.0
287,Millet Mama,1,0,3.9,18,4,73,2206,2,1,100.0
288,Bangarpet Chat Express,1,0,3.3,6,4,73,2295,2,1,175.0
290,Prems Graama Bhojanam,1,0,4.3,322,31,24,2149,2,1,150.0
291,Java City,1,0,2.6,157,31,16,492,2,1,350.0
292,Kamat Bugle Rock,1,0,3.9,543,4,73,2198,2,1,125.0
293,Woodee Pizza,1,0,3.7,180,1,16,668,2,1,50.0
294,Puliyogare Point,1,0,4.2,444,4,73,2149,2,1,300.0
295,Bangalore Agarwal Bhavan,1,0,3.9,134,31,73,2315,2,1,125.0
296,Rustic Stove,1,0,3.8,577,31,24,1945,2,1,100.0
297,Udupi Ruchi Grand,1,0,4.2,60,1,73,2238,2,1,450.0
298,De Thaali,1,0,3.9,144,31,24,1748,2,1,200.0
299,Spice Elephant,1,0,4.1,787,1,24,816,2,1,150.0
300,Just Thindi,1,0,3.6,16,4,73,2149,2,1,300.0
301,Matru Sagar,1,0,3.6,84,1,73,2224,2,1,350.0
302,Vasanth Vihar - Since 1965,1,0,3.6,95,1,73,2262,2,1,375.0
303,Sea Spice by 7 Star,1,1,4.0,349,1,24,2109,2,1,250.0
304,Desi Dawat,1,0,3.7,248,48,73,1819,2,1,175.0
305,Cafe Aira,1,0,4.1,216,4,16,548,2,1,100.0
307,Penthouse Cafe,1,0,4.0,324,1,16,629,2,1,125.0
308,Mast Punjabi,1,0,2.6,231,48,73,1751,2,1,300.0
309,South Grand,1,0,3.4,102,83,24,2226,2,1,100.0
310,Catch-up-ino,1,0,3.9,133,1,16,604,2,1,125.0
311,The Pizzeria,1,0,2.8,45,1,24,2045,2,1,75.0
312,Cafe Zone,1,0,3.9,149,48,73,1136,2,1,300.0
313,Ruchis Point,1,0,3.8,75,1,73,1129,2,1,150.0
314,Firangi Bake,1,0,4.0,53,67,36,1517,2,1,125.0
315,The Royal Corner - Pai Viceroy,1,1,4.2,815,31,24,1649,2,1,275.0
316,Hara Fine Dine,1,1,4.0,633,1,24,1649,2,1,150.0
317,Chocoberry,1,0,3.5,56,31,37,1304,2,1,175.0
318,Dakshin Grand,1,0,3.0,82,1,73,2238,2,1,100.0
319,Sandwichwallas,1,0,3.7,35,31,73,1092,2,1,325.0
320,Chai Mane,1,0,3.6,20,4,73,1385,2,1,150.0
321,SLV Upachar,1,0,3.1,14,48,73,2194,2,1,250.0
322,Waffle-A-Go Go,1,0,3.9,70,1,37,1147,2,1,600.0
323,Cross Road Cafe,1,0,3.9,91,31,16,600,2,1,325.0
324,Anand Donne Biriyani,1,0,3.6,45,31,73,333,2,1,125.0
325,Seven Star,1,0,3.4,7,1,73,1649,2,1,200.0
326,Stop 'N' Joy,1,0,3.8,28,1,73,1092,2,1,300.0
327,Sri Yaksha Shiv Sagar,1,0,3.6,24,1,24,1649,2,1,125.0
328,Fudge,1,0,3.8,36,4,37,1066,2,1,50.0
329,Just Bunny,1,0,3.5,11,31,73,1092,2,1,425.0
330,Bakers Town,1,0,3.8,77,48,16,559,2,1,200.0
331,Shree Mahalakshmi Sweets,1,0,3.2,8,1,83,1531,2,1,100.0
332,Kaapi Kendra,1,0,3.7,14,31,73,2149,2,1,50.0
333,Ivy,1,0,3.8,210,48,24,1700,2,1,50.0
334,The Airos,1,0,4.1,130,31,16,641,2,1,200.0
335,Chai Kraft,1,0,4.1,30,31,11,328,2,1,225.0
336,Kirthi's Biryani,1,0,3.8,144,1,16,720,2,1,150.0
337,South Point Pub,1,0,3.4,11,4,6,1930,2,1,250.0
338,The Trundle,1,0,3.7,133,31,24,843,2,1,50.0
339,The Krishna Grand Xpress,1,0,4.0,136,31,73,2198,2,1,200.0
340,Sri Krishna Darshini,1,0,3.1,4,4,73,2224,2,1,450.0
341,Shringar Sweets & Snacks,1,0,3.5,11,4,84,1530,2,1,100.0
342,Udupi Grand,1,0,3.8,74,4,73,2224,2,1,275.0
343,Ganesh Grand,1,0,3.7,30,4,73,2245,2,1,400.0
344,Shreyas Upahar & Burger Point,1,0,3.0,7,4,73,2168,2,1,100.0
345,Coffee Tindi,1,0,3.8,75,1,23,680,2,1,125.0
346,Little Cafe,1,0,3.7,54,4,16,506,2,1,75.0
347,Mumbai Badam Milk & Lassi Center,1,0,3.6,23,4,56,289,2,1,600.0
348,Sri Krishna Sagar,1,0,3.2,119,1,24,1649,2,1,200.0
349,Mylari Biryani Family Restaurant,1,0,3.7,73,1,73,366,2,1,250.0
350,1980s Games Cafe,1,0,3.4,58,4,16,597,2,1,200.0
351,Kadala Tarangaa,1,0,3.6,129,1,24,1491,2,1,350.0
352,Namma Biryani,1,0,3.6,24,1,73,358,2,1,200.0
353,Nandhanu's Rasoi,1,0,3.0,175,48,73,778,2,1,200.0
354,Hotel Pork Paradise,1,0,3.7,21,56,73,2149,2,1,400.0
355,As On Fire,1,0,3.5,41,79,55,2036,2,1,400.0
356,J K Fish Land,1,0,3.6,35,31,73,2128,2,1,150.0
357,Curry Leaves,1,0,4.1,176,4,24,86,2,1,100.0
358,Lassi Shop,1,0,3.5,45,1,11,304,2,1,300.0
359,Magic Meals,1,0,3.7,47,31,77,1145,2,1,450.0
360,Desi Cream Junction,1,1,3.7,36,31,24,805,2,1,400.0
361,Drunken Monkey,1,0,3.8,52,48,14,293,2,1,200.0
362,Ruchi's Corner,1,0,2.7,123,1,73,1092,2,1,150.0
363,Tandoori Bytes,1,0,3.6,59,48,24,1585,2,1,100.0
364,Bangalore Donne Biriyani,1,0,3.2,4,48,73,2160,2,1,75.0
365,SGS Non Veg - Gundu Pulav,1,0,3.8,101,1,73,366,2,1,125.0
366,Keventers,1,0,3.7,54,1,13,1046,2,1,200.0
368,Navi Food Point,1,0,3.6,22,4,73,1092,2,1,150.0
369,Shawarma Inc,1,0,3.1,31,1,85,2072,2,1,100.0
370,The Cafe Nuts and Bolts,1,0,3.0,29,48,16,600,2,1,125.0
371,AM WOW,1,0,3.4,6,31,11,283,2,1,75.0
372,Lalbagh Grand,1,0,3.0,22,4,73,2224,2,1,300.0
373,Funjabi Curries,1,0,2.9,11,1,73,1585,2,1,100.0
374,Eat Repeat,1,0,3.9,101,4,73,2149,2,1,100.0
375,Salut,1,1,4.1,442,31,71,942,2,1,325.0
376,Nammura Donne Biriyani,1,0,3.5,155,4,73,366,2,1,50.0
377,Lassi Stop,1,0,3.4,12,1,14,299,2,1,50.0
378,Dakshin Kitchen,1,0,3.6,15,4,73,2149,2,1,300.0
379,Sri Sai Cafe,1,0,3.5,10,4,73,2149,2,1,325.0
380,Sri Sai 99 Variety Dosa,1,0,3.8,25,1,73,2149,2,1,50.0
381,Utsav Restaurant,1,0,3.8,61,1,73,1649,2,1,350.0
382,Crunch and Munch,1,0,3.7,23,83,73,836,2,1,400.0
383,Food Geek,1,0,3.8,25,4,73,2100,2,1,350.0
384,Sri Krishna Aramane,1,0,3.7,40,48,73,2231,2,1,175.0
385,Great Indian Rolls,1,0,3.3,4,4,73,2062,2,1,100.0
386,Chats Point,1,0,3.4,8,4,73,1199,2,1,100.0
387,Food Point,1,0,3.5,32,48,73,1649,2,1,150.0
388,Swarga Ruchi,1,0,3.3,10,4,73,2149,2,1,150.0
389,Kolkata King,1,0,3.4,6,4,73,1182,2,1,100.0
390,Sandwich Mama's And Frozen Monster,1,0,3.8,53,31,73,1299,2,1,100.0
391,New Rajadhani Spicy,1,0,3.7,67,48,24,1585,2,1,300.0
392,Big Mishra Pedha,1,0,2.9,23,31,83,1520,2,1,50.0
393,VEGeatz,1,0,3.4,19,1,73,2221,2,1,200.0
394,Foodizo,1,0,3.6,24,1,73,1057,2,1,200.0
395,Food Springs,1,0,4.0,232,31,73,2176,2,1,200.0
396,Chung's Chinese Corner,1,0,3.9,221,31,24,700,2,1,300.0
397,Eurasia Pasta and Barbeque by Little Italy,1,1,4.1,1063,31,25,1343,2,1,125.0
398,Goli Vada Pav No. 1,1,0,3.7,93,4,73,2278,2,1,200.0
399,Ragoo's,1,0,3.9,233,31,24,1364,2,1,150.0
400,Pure & Natural,1,0,3.9,211,31,24,1139,2,1,200.0
401,Maiyas,1,0,4.0,1778,31,73,1978,2,1,150.0
402,Sip n Dine,1,0,3.6,218,86,24,1760,2,1,400.0
403,Cafe Mondo,1,0,3.7,514,4,16,625,2,1,150.0
404,Jalpaan,1,1,4.0,866,31,24,1785,2,1,200.0
405,Kataria's Pakwan,1,0,3.2,96,48,73,1585,2,1,325.0
406,Juicy Momos,1,0,3.5,80,1,73,2354,2,1,200.0
407,Amande Patisserie,1,0,4.0,73,4,0,250,2,1,100.0
408,Anand Sweets and Savouries,1,0,3.9,84,31,83,1531,2,1,350.0
409,Chicken Hunt,1,0,3.5,88,1,73,2227,2,1,150.0
410,Swadesh Tadka,1,0,3.5,179,1,24,1669,2,1,200.0
411,Cane-O-La,1,0,3.8,61,4,73,1378,2,1,200.0
412,New Biryani Mane,1,0,3.7,128,83,24,1682,2,1,100.0
413,Upahara Darshini,1,0,3.8,339,31,73,2224,2,1,100.0
414,Karnataka Bhel House,1,0,4.1,449,4,73,2278,2,1,125.0
415,Sreeraj Lassi Bar,1,0,4.1,210,31,39,283,2,1,250.0
416,Juice Junction Food Court,1,0,3.7,57,4,73,1393,2,1,50.0
417,Bunt's Biriyani Palace,1,0,3.0,213,1,73,1954,2,1,125.0
418,Chai Point,1,0,3.2,208,31,14,2329,2,1,250.0
419,Janahaar,1,0,3.8,70,1,73,2149,2,1,75.0
420,Redberrys,1,0,4.0,219,4,16,622,2,1,600.0
421,Utsav,1,0,3.7,59,1,73,1995,2,1,200.0
422,Meat And Eat,1,0,3.1,10,1,73,1114,2,1,75.0
423,Snacks Bite,1,0,3.0,9,48,73,1165,2,1,50.0
